date,name,simulation,toning,monochromatic wc,monochromatic mg,grain strength,grain size,color chrome effect,color chrome effect blue,wb,wb shift red,wb shift blue,dynamic range,highlight,shadow,color,sharpness,noise reduction,clarity,iso,exposure compensation,link
2022-08-29,Vintage Kodacolor,classic chrome,0,0,0,strong,small or large,off,off,9100k,-4,4,dr200,2.0,0.0,-4,-1,-4,0,160 to 12800,-1/3 to +1/3,https://fujixweekly.com/2022/08/29/fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-vintage-kodacolor/
2022-08-23,Kodak Max 800,classic negative,0,0,0,strong,small,strong,off,7300k,-5,-2,dr400,-2.0,1.0,-1,-2,-4,-4,160 to 6400,0 to +2/3,https://fujixweekly.com/2022/08/23/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-max-800/
2022-08-17,Fujicolor Analog,classic negative,0,0,0,weak,small,strong,strong,6900k,-5,5,dr400,-1.0,0.0,-3,0,-4,-3,160 to 6400,0 to +1,https://fujixweekly.com/2022/08/17/fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-analog/
2022-08-04,Pacific Blues,classic negative,0,0,0,strong,large,strong,strong,5800k,1,-3,dr400,-2.0,3.0,4,-2,-4,-3,160 to 6400,+2/3 to +1,https://fujixweekly.com/2022/08/04/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pacific-blues/
2022-08-02,Arizona Analog,eterna,0,0,0,strong,small,weak,weak,daylight,6,-3,dr400,-1.0,3.0,-2,-2,-4,-3,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/08/02/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-arizona-analog/
2022-07-21,Pure Negative,pro neg. std,0,0,0,weak,small,weak,off,auto,1,-2,dr200,1.0,2.0,-4,1,-4,-2,160 to 6400,0 to +1/3,https://fujixweekly.com/2022/07/21/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pure-negative/
2022-06-29,SantaColor,eterna,0,0,0,weak,small,strong,off,5100k,5,-3,dr200,-2.0,4.0,4,-2,-4,-3,160 to 6400,+2/3 to +1,https://fujixweekly.com/2022/06/29/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-santacolor/
2022-06-28,Nostalgic Print,pro neg. std,0,0,0,strong,small,weak,weak,4700k,-3,-4,dr400,-2.0,0.0,-4,-2,-4,-3,160 to 6400,+2/3 to +1,https://fujixweekly.com/2022/06/28/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-nostalgic-print/
2022-06-15,Low Key,classic negative,0,0,0,weak,small,strong,weak,daylight,-2,-4,dr200,1.0,2.0,4,-1,-4,-2,160 to 6400,-2/3 to -1 1/3,https://fujixweekly.com/2022/06/15/fujifilm-x-trans-iv-film-simulation-recipe-low-key/
2022-06-13,Pushed CineStill 800T (X100V + X-Pro3),eterna,0,0,0,strong,large,strong,strong,7700k,-9,7,dr400,3.0,1.0,-2,0,-4,-3,160 to 6400,-1/3 to +2/3,https://fujixweekly.com/2022/06/13/fujifilm-x100v-x-pro3-film-simulation-recipe-pushed-cinestill/
2022-06-11,Reggie's Portra,classic chrome,0,0,0,weak,small,strong,weak,auto,2,-4,dr-auto,-1.0,-1.0,2,-2,-4,0,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/06/11/fujifilm-x-trans-iv-film-simulation-recipe-reggies-portra/
2022-06-10,Bright Kodak,classic chrome,0,0,0,strong,large,off,off,daylight,3,-7,dr400,-2.0,-2.0,4,-2,-4,-3,160 to 6400,+1 to +1 2/3,https://fujixweekly.com/2022/06/10/fujifilm-x-trans-iv-film-simulation-recipe-bright-kodak/
2022-05-18,Pushed CineStill 800T,eterna bleach bypass,0,0,0,strong,large,strong,strong,7700k,-9,5,dr400,-0.5,-1.5,3,0,-4,-3,160 to 6400,-1/3 to +2/3,https://fujixweekly.com/2022/05/18/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pushed-cinestill-800t/
2022-05-15,Vibrant Velvia,velvia,0,0,0,weak,small,strong,strong,daylight,-1,1,dr400,-2.0,-1.0,4,0,-4,4,160 to 6400,+2/3 to +1,https://fujixweekly.com/2022/05/15/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vibrant-velvia/
2022-05-06,Fujicolor Natura 1600,classic negative,0,0,0,strong,large,strong,strong,5500k,-1,-2,dr400,-1.5,1.5,-2,-2,-4,-4,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/05/06/fujifilm-x-e4-film-simulation-recipe-fujicolor-natura-1600/
2022-04-20,CineStill 50D,astia,0,0,0,weak,small,strong,off,6800k,-5,-3,dr200,-1.0,0.0,-4,0,-4,-4,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2022/04/20/fujifilm-x-trans-iv-film-simulation-recipe-cinestill-50d/
2022-04-11,Kodacolor VR,classic chrome,0,0,0,off,off,off,off,10000k,-7,8,dr400,-1.0,1.0,2,-1,-4,0,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/04/11/fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-kodacolor-vr/
2022-04-05,Moody Monochrome,acros+y,0,0,0,strong,large,off,off,fluorescent 3,-4,-9,dr400,-1.0,4.0,0,-2,-4,-3,3200 to 3200,+1/3 to +1,https://fujixweekly.com/2022/04/05/fujifilm-x-trans-iv-film-simulation-recipe-moody-monochrome/
2022-04-04,Nostalgia Color,classic negative,0,0,0,strong,large,strong,weak,6700k,-4,-1,dr400,-1.0,3.0,-2,-2,-4,-4,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/04/04/fujifilm-x-trans-iv-film-simulation-recipe-nostalgia-color/
2022-03-29,Kodak Brilliance,classic chrome,0,0,0,weak,small,strong,weak,daylight,2,-1,dr200,4.0,-2.0,4,-1,-4,2,160 to 6400,-1 to 0,https://fujixweekly.com/2022/03/29/fujifilm-x-trans-iv-film-simulation-recipe-kodak-brilliance/
2022-03-23,Ilford HP5 Plus 400,monochrome,0,0,0,strong,large,off,off,daylight,1,-8,dr400,-1.0,1.0,0,-2,-4,0,160 to 6400,-2/3 to +2/3,https://fujixweekly.com/2022/03/23/fujifilm-x-trans-iv-film-simulation-recipe-ilford-hp5-plus-400/
2022-03-20,Serr's 500T,classic chrome,0,0,0,strong,large,strong,strong,3200k,-1,4,dr-auto,-2.0,-1.0,-1,-1,-2,0,160 to 6400,-1/3 to +1/3,https://fujixweekly.com/2022/03/20/fujifilm-x-trans-iv-film-simulation-recipe-serrs-500t/
2022-03-05,Old Ektachrome,classic chrome,0,0,0,strong,large,strong,weak,daylight,3,2,dr400,2.0,1.0,3,0,-4,-4,160 to 6400,0 to +2/3,https://fujixweekly.com/2022/03/05/fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-old-ektachrome/
2022-02-17,Standard Provia,provia,0,0,0,weak,small,strong,weak,daylight,-3,0,dr400,2.0,1.0,2,0,-4,-3,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2022/02/17/fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-standard-provia/
2022-02-14,Agfa Ultra 100,classic negative,0,0,0,weak,large,strong,strong,daylight,-2,3,dr400,2.0,-2.0,2,-1,-4,-3,160 to 6400,0 to +1,https://fujixweekly.com/2022/02/14/fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-agfa-ultra-100/
2022-02-07,Vintage Color v2,classic negative,0,0,0,strong,large,strong,strong,7350k,-1,-4,dr400,2.0,3.0,-1,-2,-4,-3,160 to 6400,0 to +1,https://fujixweekly.com/2022/02/07/fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-vintage-color-v2/
2022-01-27,Vintage Color,eterna,0,0,0,strong,large,strong,strong,7350k,-1,-4,dr200,2.0,3.0,1,-2,-4,-2,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2022/01/27/fujifilm-x100v-x-trans-iv-film-simulation-recipe-vintage-color/
2022-01-21,Negative Print,eterna,0,0,0,weak,small or large,off,off,fluorescent 3,-2,-7,dr200,2.0,4.0,4,-1,-4,0,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2022/01/21/fujifilm-x-t3-x-t30-x-h1-film-simulation-recipe-negative-print/
2022-01-18,Kodak Gold v2,classic chrome,0,0,0,strong,large,weak,off,5800k,2,4,dr200,0.0,-1.0,-1,-1,-4,-2,160 to 6400,0 to +2/3,https://fujixweekly.com/2022/01/18/fujifilm-x-trans-iv-film-simulation-recipe-kodak-gold-v2/
2022-01-10,Old Kodak,classic chrome,0,0,0,strong,small,strong,strong,auto white priority,1,-6,dr400,3.5,-0.5,3,-2,-4,-2,160 to 6400,-1/3 to +1/3,https://fujixweekly.com/2022/01/10/fujifilm-x-e4-film-simulation-recipe-old-kodak/
2022-01-02,Ilford Pan F Plus 50,monochrome,0,0,0,weak,large,off,off,daylight,1,-6,dr100,0.0,1.0,0,0,-4,2,160 to 6400,-1/3 to +1/3,https://fujixweekly.com/2022/01/02/fujifilm-x100v-film-simulation-recipe-ilford-pan-f-plus-50/
2021-12-23,Fujicolor NPH,provia,0,0,0,weak,large,strong,strong,5250k,-3,-4,dr100,-1.0,0.0,0,0,-4,-3,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/12/23/fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-nph/
2021-12-14,Kodak High Definition Plus 200,classic chrome,0,0,0,weak,small,weak,weak,4800k,-2,-7,dr400,0.0,1.0,2,0,-4,-3,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/12/14/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-high-definition-plus-200/
2021-11-30,Vintage Negative,classic negative,0,0,0,strong,large,strong,strong,10000k,-6,-5,dr400,1.0,2.0,-3,-4,-4,-5,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/11/30/fujifilm-x-trans-iv-film-simulation-recipe-vintage-negative/
2021-11-30,Kodachrome 25,classic chrome,0,0,0,off,off,strong,strong,daylight,2,-4,dr400,0.5,-0.5,1,3,-4,3,160 to 1600,0 to +2/3,https://fujixweekly.com/2021/11/30/fujifilm-x-e4-film-simulation-recipe-kodachrome-25/
2021-11-23,Retro Gold Low Contrast,classic chrome,0,0,0,weak,small,strong,strong,fluorescent 3,4,-6,dr400,0.0,-2.0,4,0,-4,-3,160 to 6400,0 to -2/3,https://fujixweekly.com/2021/11/23/fujifilm-x-trans-iv-film-simulation-recipe-retro-gold-low-contrast/
2021-11-22,Retro Gold,classic chrome,0,0,0,weak,small,strong,strong,fluorescent 3,4,-6,dr400,4.0,2.0,4,0,-4,-2,160 to 6400,0 to -2/3,https://fujixweekly.com/2021/11/22/fujifilm-x-trans-iv-film-simulation-recipe-retro-gold/
2021-11-17,Porto 200,pro neg. std,0,0,0,weak,small or large,off,off,shade,0,-4,dr200,-1.0,0.0,0,0,-4,0,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/11/17/fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-porto-200/
2021-11-11,Eterna Bleach Bypass,pro neg. std,0,0,0,weak,small or large,off,off,incandescent,8,-9,dr400,3.0,3.0,-4,0,-4,0,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/11/11/fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-eterna-bleach-bypass/
2021-11-05,Ferrania Solaris FG 400,eterna bleach bypass,0,0,0,strong,small,strong,weak,5200k,1,-6,dr400,0.0,-2.0,2,-2,-4,-2,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/11/05/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-ferrania-solaris-fg-400/
2021-11-01,Elite Chrome 200,classic chrome,0,0,0,strong,large,strong,weak,daylight,-1,-3,dr400,-1.0,1.0,-1,-1,-4,-4,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/11/01/fujifilm-x-trans-iv-film-simulation-recipe-elite-chrome-200/
2021-10-31,Eterna v3,eterna,0,0,0,strong,small or large,strong,off,auto,-1,-1,dr400,2.0,3.0,4,-2,-4,0,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/10/31/fujifilm-x-t30-film-simulation-recipe-eterna-v3/
2021-10-18,Muted Color,eterna bleach bypass,0,0,0,weak,small,strong,weak,auto,3,-8,dr400,-0.5,1.0,-4,0,-4,-2,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/10/18/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-muted-color/
2021-10-13,Silver Summer,eterna bleach bypass,0,0,0,strong,small,strong,strong,5300k,-3,-6,dr400,-1.0,1.0,4,-2,-4,-3,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/10/13/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-silver-summer/
2021-10-11,Pulled Fujicolor Superia,classic negative,0,0,0,weak,small,strong,strong,daylight,-4,-2,d-range priority strong,0.0,0.0,3,-2,-4,2,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/10/11/fujifilm-x100v-x-trans-iv-film-simulation-recipe-pulled-fujicolor-superia/
2021-09-22,Portra-Style,classic chrome,0,0,0,strong,small,strong,weak,5000k,2,-6,d-range priority auto,0.0,0.0,1,-2,-4,3,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/09/22/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-portra-style/
2021-09-15,Scanned Superia,classic negative,0,0,0,weak,small,weak,weak,daylight,-2,3,d-range priority auto,0.0,0.0,3,-3,-4,3,160 to 6400,-1/3 to +1/3,https://fujixweekly.com/2021/09/15/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-scanned-superia/
2021-08-25,Monochrome Negative,acros,0,0,0,strong,small,off,off,daylight,0,0,dr400,3.0,0.0,0,-2,-4,0,160 to 12800,0 to -2/3,https://fujixweekly.com/2021/08/25/fujifilm-x100v-x-trans-iii-x-trans-iv-film-simulation-recipe-monochrome-negative/
2021-08-17,Kodak Portra 400 v2,classic chrome,0,0,0,strong,small or large,strong,off,daylight,2,-6,dr-auto,-1.0,-1.0,2,-2,-4,0,160 to 6400,+2/3 to +1,https://fujixweekly.com/2021/08/17/fujifilm-x-t3-x-t30-film-simulation-recipe-kodak-portra-400-v2/
2021-08-03,AgfaChrome RS 100,classic negative,0,0,0,strong,small,strong,strong,daylight,-3,5,dr400,1.0,-1.0,2,-2,-4,-3,160 to 6400,-1/3 to +1/3,https://fujixweekly.com/2021/08/03/fujifilm-x-trans-iv-film-simulation-recipe-agfachrome-rs-100/
2021-07-26,Fujicolor Super HG v2,classic negative,0,0,0,weak,large,weak,strong,auto white priority,-3,-1,dr400,-1.0,1.0,2,0,-4,2,160 to 6400,+2/3 to +1,https://fujixweekly.com/2021/07/26/fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-v2-part-2-of-3/
2021-07-26,Super HG Astia,astia,0,0,0,weak,small,weak,weak,fluorescent 2,-3,-1,dr400,2.0,1.0,2,-1,-4,2,160 to 6400,+2/3 to +1,https://fujixweekly.com/2021/07/26/fujifilm-x-trans-iv-film-simulation-recipe-super-hg-astia-part-3-of-3/
2021-07-24,Fujicolor Super HG,classic negative,0,0,0,weak,large,weak,strong,fluorescent 2,-3,-1,dr400,0.0,1.0,2,0,-4,-3,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/07/24/fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-part-1-of-3/
2021-07-06,Kodak Portra 400 Warm,classic chrome,0,0,0,strong,small,strong,off,5500k,0,-7,dr400,-1.0,-2.0,2,-2,-4,-2,160 to 6400,+2/3 to +1 1/3,https://fujixweekly.com/2021/07/06/fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-400-warm/
2021-06-21,Expired Slide,velvia,0,0,0,strong,large,strong,strong,5500k,7,-2,dr400,2.0,-1.0,-4,-2,-4,-2,160 to 6400,-1/3 to +2/3,https://fujixweekly.com/2021/06/21/two-fujifilm-x-trans-iv-film-simulation-recipes-expired-slide-expired-slide-v2/
2021-06-21,Expired Slide V2,velvia,0,0,0,strong,large,strong,strong,5000k,8,0,dr400,2.0,-1.0,-4,-2,-4,-2,160 to 6400,-1/3 to +2/3,https://fujixweekly.com/2021/06/21/two-fujifilm-x-trans-iv-film-simulation-recipes-expired-slide-expired-slide-v2/
2021-06-01,Positive Film,classic negative,0,0,0,weak,large,strong,strong,2950k,7,-9,dr400,1.0,2.0,4,-2,-4,-4,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/06/01/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-positive-film/
2021-05-30,Fujicolor NPS 160 Pulled,classic negative,0,0,0,weak,small,weak,strong,auto,-1,-4,dr400,-2.0,-2.0,-4,1,-4,-2,160 to 6400,+2/3 to +1 1/3,https://fujixweekly.com/2021/05/30/fujifilm-x-trans-iv-x-pro3-x100v-x-t4-x-s10-x-e4-film-simulation-recipe-fujicolor-nps-160-pulled/
2021-05-25,Fujicolor Pro 400H,pro neg. hi,0,0,0,off,off,strong,off,daylight,1,-3,dr400,0.0,0.0,1,-3,-4,0,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/05/25/7-new-fujicolor-pro-400h-film-simulation-recipes/
2021-05-24,Fujicolor Pro 160NS,pro neg. hi,0,0,0,off,off,off,off,daylight,0,0,dr400,0.0,0.0,0,-3,-4,0,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/05/24/a-different-approach-7-new-fujicolor-pro-160ns-film-simulation-recipes-yes-7/
2021-05-19,Grizzly Ride,eterna bleach bypass,0,0,0,strong,large,strong,strong,6990k,3,-7,dr200,0.0,2.5,-2,-4,-4,-5,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/05/19/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-grizzly-ride/
2021-05-17,Kodak Portra 800 v2,classic chrome,0,0,0,strong,small,strong,strong,daylight,3,-6,dr400,0.0,-2.0,-4,-2,-4,-5,160 to 6400,-2/3 to +1,https://fujixweekly.com/2021/05/17/fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-800-v2/
2021-05-16,Fujicolor Pro 400H,classic negative,0,0,0,strong,small,strong,weak,4900k,0,-4,dr400,-2.0,4.0,4,-2,-4,-4,160 to 6400,"+1 to +1 2/3, but try between +1/3 to +2 2/3",https://fujixweekly.com/2021/05/16/fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-pro-400h/
2021-05-13,Fujicolor C200,classic negative,0,0,0,weak,large,weak,off,daylight,0,-3,dr400,0.5,-0.5,2,-3,-4,-3,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/05/13/fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-c200/
2021-05-09,Fujicolor Negative,classic negative,0,0,0,strong,small,off,off,auto,-1,-6,dr400,-2.0,3.0,-4,-2,-4,-3,160 to 6400,+2/3 to +1,https://fujixweekly.com/2021/05/09/fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-negative/
2021-05-03,Xpro '62,classic negative,0,0,0,strong,large,strong,strong,auto,-3,-9,dr400,3.0,0.0,4,-4,-4,-4,160 to 6400,0 to +1/3,https://fujixweekly.com/2021/05/03/fujifilm-x100v-x-trans-iv-film-simulation-recipe-xpro-62/
2021-05-02,Chrome Bypass,pro neg. std,0,0,0,strong,small or large,off,off,auto,2,-5,dr200,3.0,4.0,-4,-1,-4,0,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/05/02/fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-chrome-bypass/
2021-04-27,Eterna v2,eterna,0,0,0,strong,small,strong,strong,auto white priority,0,0,dr400,3.0,2.0,3,0,-4,-3,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/04/27/fujifilm-x-trans-iv-film-simulation-recipe-eterna-v2/
2021-04-26,Ektachrome 320T,eterna bleach bypass,0,0,0,strong,small,strong,strong,auto ambience priority,-6,-5,dr400,1.0,-2.0,4,0,-4,-3,160 to 6400,0 to +2/3,https://fujixweekly.com/2021/04/26/fujifilm-x-e4-film-simulation-recipe-ektachrome-320t/
2021-04-21,Vintage Vibes,classic negative,0,0,0,strong,small,strong,weak,5200k,1,-6,dr400,0.0,-2.0,2,-2,-4,-2,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/04/21/fujifilm-x-trans-iv-film-simulation-recipe-vintage-vibes/
2021-04-11,LomoChrome Metropolis,eterna bleach bypass,0,0,0,strong,small,strong,strong,auto white priority,1,-7,dr200,1.0,2.5,-2,-1,-4,4,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/04/11/fujifilm-x-trans-iv-film-simulation-recipe-lomochrome-metropolis/
2021-04-05,Kodachrome II,classic chrome,0,0,0,weak,small,strong,weak,auto,3,-4,dr200,1.0,2.0,1,1,-4,-2,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/04/05/two-fujifilm-x-trans-iv-film-simulation-recipes-kodachrome-ii/
2021-04-05,Kodachrome II V2,classic chrome,0,0,0,weak,small,strong,weak,auto white priority,3,-5,dr200,1.0,1.5,1,1,-4,-2,160 to 6400,+1/3 to +2/3,https://fujixweekly.com/2021/04/05/two-fujifilm-x-trans-iv-film-simulation-recipes-kodachrome-ii/
2021-02-23,Creamy Color,classic negative,0,0,0,strong,large,strong,strong,8700k,4,6,dr400,4.0,4.0,-4,-4,-4,-5,160 to 6400,+1/3,https://fujixweekly.com/2021/02/23/fujifilm-x-trans-iv-film-simulation-recipe-creamy-color/
2021-02-22,Faded Negative,classic negative,0,0,0,weak,large,strong,strong,auto,4,-6,dr400,3.0,4.0,-2,-2,-4,0,160 to 6400,"+2/3 to +1 1/3 for the 1st exposure, 0 to +1/3 for the 2nd exposure",https://fujixweekly.com/2021/02/22/fujifilm-x100v-film-simulation-recipe-faded-negative/
2021-02-16,Velvia v2,velvia,0,0,0,weak,small or large,strong,off,auto,0,0,dr200,-1.0,-1.0,4,0,-4,0,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/02/16/fujifilm-x-t30-x-trans-iv-film-simulation-recipe-velvia-v2/
2021-02-07,Nostalgic Negative,classic chrome,0,0,0,weak,large,strong,strong,auto,3,-5,dr200,-1.0,0.0,4,0,-4,-5,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/02/07/new-nostalgic-negative-film-simulation-x-trans-iv-nostalgic-negative-recipe/
2021-01-27,Amanda's Classic Negative,classic negative,0,0,0,weak,small,strong,weak,auto,0,0,dr200,1.0,1.5,3,1,-4,0,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/01/27/snow-fun-with-fujifilm-x-t4-fujinon-90mm-new-film-simulation-recipe-amandas-classic-negative/
2021-01-24,Ilford Ortho Plus 80,monochrome+g,0,1,0,weak,small,strong,off,7000k,-5,0,dr400,2.0,3.0,0,2,-4,-2,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/01/24/fujifilm-x100v-film-simulation-recipe-ilford-ortho-plus-80/
2021-01-11,Classic Monochrome,monochrome,0,1,0,weak,small,strong,strong,auto,0,0,dr100,4.0,2.0,0,1,-4,4,160 to 12800,-1/3 to +1/3,https://fujixweekly.com/2021/01/11/fujifilm-x100v-film-simulation-recipe-classic-monochrome/
2021-01-04,Color Negative 400,classic negative,0,0,0,weak,large,weak,weak,auto,-2,-4,dr400,0.0,4.0,4,0,-4,-5,160 to 6400,+1/3 to +1,https://fujixweekly.com/2021/01/04/fujifilm-x100v-film-simulation-recipe-color-negative-400/
2020-12-30,Kodak Portra 400 v2,classic chrome,0,0,0,strong,small,strong,weak,5200k,1,-6,dr400,0.0,-2.0,2,-2,-4,-2,160 to 6400,+1/3 to +1,https://fujixweekly.com/2020/12/30/fujifilm-x100v-film-simulation-recipe-kodak-portra-400-v2/
2020-12-07,Superia Premium 400,classic negative,0,0,0,strong,small,strong,weak,4700k,4,-3,dr200,-2.0,0.0,4,-1,-4,-2,160 to 6400,+2/3 to +1,https://fujixweekly.com/2020/12/07/fujifilm-x100v-film-simulation-recipe-superia-premium-400/
2020-11-10,Superia Xtra 400,classic negative,0,0,0,strong,small,off,strong,auto,3,-5,dr400,0.0,-1.0,4,-1,-4,-2,160 to 6400,0 to +1,https://fujixweekly.com/2020/11/10/fujifilm-x100v-film-simulation-recipe-superia-xtra-400/
2020-11-03,Kodak Portra 800,classic chrome,0,0,0,strong,large,strong,weak,5200k,1,-5,dr400,1.0,0.0,3,-2,-4,-4,160 to 6400,+1/3 to +1,https://fujixweekly.com/2020/11/03/fujifilm-x100v-film-simulation-recipe-kodak-portra-800/
2020-10-06,CineStill 800T,eterna,0,0,0,strong,large,strong,strong,fluorescent 3,-6,-4,dr400,0.0,2.0,4,-3,-4,-5,160 to 6400,-1/3 to +2/3,https://fujixweekly.com/2020/10/06/fujifilm-x100v-film-simulation-recipe-cinestill-800t/
